		      Temperatura
		 --------------------- 

Fecha: 07MARZ-2017
------------------
24.5  18.4
24.3  19.9
24.0  20.2
23.8  20.2
23.5  20.5
23.2  20.8
23.3  20.4
22.9  20.7
22.9  20.5
22.8  20.4
22.8  20.2
22.3  20.1
22.9  20.3
24.7  20.7
26.6  20.8
26.4  20.4
27.2  20.4
27.7  20.3
30.1  19.8
30.1  20.0
30.1  18.4
30.1  18.4
27.8  19.5
26.4  20.4

Fecha: 06MARZ-2017
------------------
25.8  20.7
25.1  21.5
24.5  21.5
24.0  21.7
24.0  21.1
24.0  21.1
24.0  21.1
23.9  21.1
23.5  21.3
23.7  21.4
23.4  21.3
23.2  21.3
23.3  21.4
23.9  21.5
25.5  21.7
26.0  21.7
27.8  21.5
29.1  21.2
30.1  21.0
30.1  21.1
29.1  20.7
27.9  20.6
27.3  20.3
25.6  20.8

Fecha: 05MARZ-2017
------------------
25.9  20.8
25.2  21.0
25.0  20.8
24.8  20.8
24.5  20.9
24.0  20.7
24.0  20.6
24.0  20.7
24.0  20.6
23.3  20.3
22.8  20.0
22.9  20.3
22.7  20.3
24.3  20.9
25.0  20.8
25.4  20.5
27.4  20.9
30.1  20.8
28.9  18.4
30.1  20.9
26.8  20.5
26.8  20.5
30.1  20.9
26.8  21.0
